Ticker,Company
LLOY,Lloyds Banking Group
LMP,LondonMetric Property
LRE,Lancashire Holdings
LSEG,London Stock Exchange Group
LSL,LSL Property Services
LTI,Lindsell Train
LUCE,Luceco
LWDB,Law Debenture
LWI,Lowland Investment Company
MAB,Mitchells & Butlers
MACF,Macfarlane Group
MAJE,Majedie Investments
MARS,Marston's
MEGP,ME Group International
MER,Mears Group
MGAM,Morgan Advanced Materials
MGNS,Morgan Sindall Group
MKS,Marks & Spencer
MMIT,Mobius Investment Trust
MNDI,Mondi
MNG,M&G
MNKS,Monks Investment Trust
MNTN,Schiehallion Fund
MONY,MONY Group
MOON,Moonpig
MOTR,Motorpoint Group
MRC,Mercantile Investment Trust
MRCH,Merchants Trust
MRO,Melrose Industries
MTLN,Metlen Energy & Metals
MTO,Mitie
MTRO,Metro Bank
MUT,Murray Income Trust
MWY,Mid Wynd International Investment Trust
MYI,Murray International Trust
N91,Ninety One
NAS,North Atlantic Smaller Companies Investment Trust
NBPE,NB Private Equity Partners
NCC,NCC Group
NG,National Grid plc
NRR,NewRiver
NWG,NatWest Group
NXR,Norcros
NXT,Next plc
OCDO,Ocado Group
OCI,Oakley Capital Investments
ONT,Oxford Nanopore Technologies
OSB,OSB Group
OTB,On The Beach Group
OXB,Oxford Biomedica
OXIG,Oxford Instruments
PAF,Pan African Resources
PAG,Paragon Banking Group
PAGE,PageGroup
PCA,Palace Capital
PCGH,Polar Capital Global Healthcare Trust
PCT,Polar Capital Technology Trust
PDL,Petra Diamonds
PETS,Pets at Home
PEY,Partners Group Private Equity
PFD,Premier Foods
PHAR,Pharos Energy
PHI,Pacific Horizon Investment Trust
PHP,Primary Health Properties
PIN,Pantheon International
PINT,Pantheon Infrastructure
PLUS,Plus500
PNL,Personal Assets Trust
PNN,Pennon Group
POLN,Pollen Street Group
PPET,Patria Private Equity Trust
PPH,PPHE Hotel Group
PRN,Princes Group
PRU,Prudential plc
PRV,Porvair
PSDL,Phoenix Spree Deutschland
PSH,Pershing Square Holdings
PSN,Persimmon
PSON,Pearson plc
PTEC,Playtech
QLT,Quilter
QQ,Qinetiq
RAT,Rathbones
RCH,Reach
RCP,RIT Capital Partners
REC,Record
REL,RELX
RHIM,RHI Magnesita
RICA,Ruffer Investment Company
RIO,Rio Tinto
RKT,Reckitt
RMV,Rightmove
RNK,Rank Group
ROR,Rotork
ROSE,Rosebank Industries
RPI,Raspberry Pi Holdings
RR,Rolls-Royce Holdings
RS1,RS Group
RSE,Riverstone Energy
RSW,Renishaw
RTO,Rentokil Initial
RTW,RTW Biotech Opportunities
RWA,Robert Walters
SAFE,Safestore
SAGA,Saga
SAIN,Scottish American Investment Company
SBRE,Sabre Insurance
SBRY,Sainsbury's
SCF,Schroder Income Growth Fund
SCT,Softcat
SDLF,Standard Life
SDP,Schroder AsiaPacific Fund
SDR,Schroders
SDY,Speedy Hire
SEC,Strategic Equity Capital
SEIT,SDCL Efficiency Income Trust
SEQI,Sequoia Economic Infrastructure Income Fund
SFR,Severfield
SGE,Sage Group
SGRO,Segro
SHAW,Shawbrook Bank
SHC,Shaftesbury Capital
SHEL,Shell plc
SHI,SIG
SMIN,Smiths Group
SMT,Scottish Mortgage Investment Trust
SMWH,WHSmith
SN,Smith & Nephew
SNR,Senior
SNWS,Smiths News
SOI,Schroder Oriental Income Fund
SPI,Spire Healthcare
SPX,Spirax Group
SRE,Sirius Real Estate
SRP,Serco
SSE,SSE plc
SSIT,Seraphim Space Investment Trust
SSPG,SSP Group
STAN,Standard Chartered
STB,Secure Trust Bank
STJ,St. James's Place
STVG,STV Group
SUPR,Supermarket Income REIT
SUS,S & U
SVS,Savills
SVT,Severn Trent
SYNC,Syncona
SYNT,Synthomer
TATE,Tate & Lyle
TBCG,TBC Bank
TCAP,TP ICAP
TEM,Templeton Emerging Markets Investment Trust
TEP,Telecom Plus
TET,Treatt
TFIF,Twentyfour Income Fund
THG,THG
THRL,Target Healthcare REIT
TMPL,Temple Bar Investment Trust
TPK,Travis Perkins
TPT,Topps Tiles
TRI,Trifast
TRIG,The Renewables Infrastructure Group
TRN,Trainline
TRST,Trustpilot
TRY,TR Property Investment Trust
TSCO,Tesco
TTG,TT Electronics
TW,Taylor Wimpey
UEM,Utilico Emerging Markets
UKW,Greencoat UK Wind
ULTP,Ultimate Products
ULVR,Unilever
USA,Baillie Gifford US Growth Trust
UTG,Unite Group
UU,United Utilities
VANQ,Vanquis Banking Group
VCT,Victrex
VEIL,Vietnam Enterprise Investments
VID,Videndum
VOD,Vodafone Group
VOF,VinaCapital Vietnam Opportunity Fund
VSVS,Vesuvius
VTY,Vistry Group
WEIR,Weir Group
WIX,Wickes
WIZZ,Wizz Air
WKP,Workspace Group
WOSG,Watches of Switzerland
WPP,WPP
WTB,Whitbread
WWH,Worldwide Healthcare Trust
XAR,Xaar
XPP,XP Power
XPS,XPS Pensions
ZIG,Zigup
ZTF,Zotefoams
